id,title,inventor,grant_date,result_link
CN-108881239-B,"Software telephone, roaming method thereof and soft switch equipment ",张余,6/15/21,https://patents.google.com/patent/CN108881239B/en
CN-105245509-A,Method for establishing bidirectional data transmission channel based on Flash platform ,"闫石, 汪铁丰, 张澍勇, 殷海晨, 毕先春, 卢述奇",,https://patents.google.com/patent/CN105245509A/en
US-10986219-B2,LTE fault-tolerant signaling approach ,"Miguel Martinez-Heath, Keylor Eng, Aurelien Bruno, Scott SAYERS",4/20/21,https://patents.google.com/patent/US10986219B2/en
US-2013138820-A1,"Communication equipment that performs communications via network, control method therefor, and storage medium ",Hidenori Yokokura,,https://patents.google.com/patent/US20130138820A1/en
US-10673908-B2,Devices and systems for voice over internet protocol codec selection ,"Surendra Prajapat, Timothy B. Dentry",6/2/20,https://patents.google.com/patent/US10673908B2/en
CN-109040007-B,Method and system for handling Alternative Network Address Type (ANAT) incompatibility ,"T·卢卡克, H·V·曼迪拉塔",2/22/22,https://patents.google.com/patent/CN109040007B/en
TW-498662-B,Communication method and communication device ,"Wataru Matsumoto, Toshihisa Hane, Yoshinori Mizugai, Masafumi Narikawa",8/11/02,https://patents.google.com/patent/TW498662B/en
DE-102007011259-A1,"Personal communication partner choosing and dialing method for making e.g. phone call, involves downloading actual geographic location and additional information such as phone number of partner from server by each terminal equipment ",Stefan Bubb,,https://patents.google.com/patent/DE102007011259A1/en
AU-776055-B2,Method for providing IP telephony with QoS using end-to-end RSVP signaling ,Steven R. Donovan,8/26/04,https://patents.google.com/patent/AU776055B2/en
FR-2865048-A1,"Electronic business card transmission process, involves transmitting card, via open initialization channel between transmitting and receiving terminals, while establishing communication session, after converting card into compatible format ","Francois Ladouceur, Patrick Monfort, Briac Hardouin",,https://patents.google.com/patent/FR2865048A1/en
US-10673982-B2,Cloud-based application communication with hierarchical databases ,"Juan Acosta, Horacio Alejandro Delgado, Tapan K. Ganguly, Vishal Jha, Alan Daniel Schwartz, Zelisha Siclait, Mathew Varghese, Aditya Yallaturu",6/2/20,https://patents.google.com/patent/US10673982B2/en
US-9031057-B2,Multimedia session call control method and application server ,"Shuiping Long, Hui Jin",5/12/15,https://patents.google.com/patent/US9031057B2/en
US-2011225307-A1,Apparatus and method for reducing responses when executing a session initiation protocol operation ,"Richard George, Adrian Buckley, Alexander Shatsky",,https://patents.google.com/patent/US20110225307A1/en
